timestamp,lat,lon,altitude_agl,vertical_velocity,y_acc,gyr_y,pyro_state,sats,flight_state,battery_voltage
214466,329972224,-1069750636,1445.71533203125,-32.942138671875,-0.22853200137615204,-0.0,8,0,5,9.2096
214506,329972241,-1069751120,1445.2510986328125,-18.651670455932617,-0.22853200137615204,-0.0,8,0,5,9.2168
214546,329972241,-1069751120,1444.632080078125,-30.45505142211914,-0.22853100299835205,-0.0,8,0,5,9.1956
214606,329972248,-1069750820,1443.70361328125,-19.05535888671875,-0.22853100299835205,-0.0,8,0,5,9.1956
214646,329972332,-1069751008,1442.9298095703125,-42.85401153564453,-0.22853000462055206,-0.0,8,0,5,9.1956
214706,329972453,-1069750923,1442.0013427734375,-33.03111267089844,-0.22852900624275208,-0.0,8,0,5,9.1956
214746,329972453,-1069750923,1441.3824462890625,-40.93452453613281,-0.22852900624275208,-0.0,8,0,5,9.1888
214786,329972433,-1069750980,1440.7635498046875,-31.344411849975586,-0.2285279929637909,-0.0,8,0,5,9.2096
214846,329972210,-1069751026,1439.835205078125,-40.846458435058594,-0.2285279929637909,-0.0,8,0,5,9.1956
214886,329972392,-1069750655,1439.21630859375,-31.34088897705078,-0.2285269945859909,-0.0,8,0,5,9.1888
214946,329972351,-1069750569,1438.2880859375,-30.9460391998291,-0.22852599620819092,-0.0,8,0,5,9.1956
214986,329972512,-1069750883,1437.669189453125,-30.94487190246582,-0.22852599620819092,-0.0,8,0,5,9.1956
215026,329972361,-1069750669,1437.0504150390625,-30.942873001098633,-0.22852499783039093,-0.0,8,0,5,9.1744
215086,329972374,-1069750913,1436.122314453125,-40.833091735839844,-0.22852499783039093,-0.0,8,0,5,9.2096
215127,329972185,-1069751108,1435.5035400390625,-31.330589294433594,-0.22852399945259094,-0.0,8,0,5,9.1956
215186,329972282,-1069751126,1434.7301025390625,-18.56314468383789,-0.22852300107479095,-0.0,8,0,5,9.2096
215226,329972368,-1069751042,1434.111328125,-30.447603225708008,-0.22852300107479095,-0.0,8,0,5,9.1956
215266,329972397,-1069750833,1433.3380126953125,-33.38782501220703,-0.22852200269699097,-0.0,8,0,5,9.1956
215326,329972622,-1069750669,1432.4100341796875,-30.952259063720703,-0.22852200269699097,-0.0,8,0,5,9.1956
215366,329972611,-1069751222,1431.7913818359375,-30.93340301513672,-0.22852100431919098,-0.0,8,0,5,9.2096
215426,329972523,-1069751182,1430.8634033203125,-30.9326229095459,-0.228520005941391,-0.0,8,0,5,9.1956
215446,329972523,-1069751182,1430.5540771484375,-30.932619094848633,-0.228520005941391,-0.0,8,0,5,9.1956
215506,329972719,-1069750840,1429.7808837890625,-20.537303924560547,-0.2285189926624298,-0.0,8,0,5,9.1744
215566,329972368,-1069750753,1428.6983642578125,-41.23304748535156,-0.2285189926624298,-0.0,8,0,5,9.2096
215606,329972466,-1069750588,1428.079833984375,-31.342681884765625,-0.22851799428462982,-0.0,8,0,5,9.1956
215666,329972695,-1069750738,1427.152099609375,-40.824180603027344,-0.22851699590682983,-0.0,8,0,5,9.1888
215706,329972264,-1069750995,1426.5335693359375,-31.318513870239258,-0.22851699590682983,-0.0,8,0,5,9.1888
215746,329972264,-1069750995,1425.9150390625,-40.83672332763672,-0.22851599752902985,-0.0,8,0,5,9.2096
215806,329972391,-1069751050,1425.14208984375,-20.606380462646484,-0.22851599752902985,-0.0,8,0,5,9.1956
215846,329972115,-1069751080,1424.3690185546875,-32.982460021972656,-0.22851499915122986,-0.0,8,0,5,9.1888
215906,329972354,-1069750817,1423.44140625,-30.936906814575195,-0.22851400077342987,-0.0,8,0,5,9.1956
215946,329972354,-1069750817,1422.822998046875,-40.81169509887695,-0.22851400077342987,-0.0,8,0,5,9.1956
215986,329972507,-1069750836,1422.20458984375,-41.214500427246094,-0.22851300239562988,-0.0,8,0,5,9.1956
216046,329972303,-1069751047,1421.4317626953125,-18.62932586669922,-0.22851300239562988,-0.0,8,0,5,9.1888
216086,329972423,-1069751210,1420.6588134765625,-42.792049407958984,-0.2285120040178299,-0.0,8,0,5,9.1956
216146,329972209,-1069750857,1419.7313232421875,-31.013429641723633,-0.2285110056400299,-0.0,8,0,5,9.2096
216186,329972592,-1069751023,1419.1131591796875,-30.912412643432617,-0.2285110056400299,-0.0,8,0,5,9.1956
216226,329972239,-1069751106,1418.494873046875,-30.910324096679688,-0.22851000726222992,-0.0,8,0,5,9.1744
216286,329972420,-1069750784,1417.7220458984375,-20.52501678466797,-0.22851000726222992,-0.0,8,0,5,9.1956
216326,329972460,-1069750840,1416.9493408203125,-32.96553039550781,-0.22850899398326874,-0.0,8,0,5,9.1956
216386,329972444,-1069750639,1416.176513671875,-20.549270629882812,-0.22850899398326874,-0.0,8,0,5,9.1888
216426,329972195,-1069750610,1415.4039306640625,-32.95673751831055,-0.22850799560546875,-0.0,8,0,5,9.1888
216466,329972430,-1069750584,1414.7857666015625,-30.990144729614258,-0.22850799560546875,-0.0,8,0,5,9.2096
216526,329972478,-1069751020,1413.8585205078125,-40.79948425292969,-0.22850699722766876,-0.0,8,0,5,9.1888
216566,329972187,-1069750487,1413.240478515625,-41.184715270996094,-0.22850599884986877,-0.0,8,0,5,9.2096
216626,329971964,-1069750736,1412.3133544921875,-30.988462448120117,-0.22850599884986877,-0.0,8,0,5,9.1956
216666,329972169,-1069750646,1411.6953125,-30.901647567749023,-0.2285050004720688,-0.0,8,0,5,9.2096
216706,329972389,-1069751269,1411.0772705078125,-40.78879928588867,-0.2285050004720688,-0.0,8,0,5,9.1888
216766,329972217,-1069750923,1410.1502685546875,-30.97709083557129,-0.2285040020942688,-0.0,8,0,5,9.2168
216806,329972190,-1069750952,1409.5322265625,-30.909006118774414,-0.2285030037164688,-0.0,8,0,5,9.1956
216866,329972342,-1069751506,1408.759765625,-28.433210372924805,-0.2285030037164688,-0.0,8,0,5,9.1888
216906,329972278,-1069750447,1407.9874267578125,-33.2681884765625,-0.22850200533866882,-0.0,8,0,5,9.1888
216946,329972278,-1069750447,1407.52392578125,-28.520179748535156,-0.22850200533866882,-0.0,8,0,5,9.1888
217006,329972545,-1069750883,1406.442626953125,-31.371129989624023,-0.22850100696086884,-0.0,8,0,5,9.1888
217047,329972545,-1069750883,1405.979248046875,-18.551719665527344,-0.22850100696086884,-0.0,8,0,5,9.1888
217106,329972331,-1069751036,1405.0523681640625,-18.936304092407227,-0.22849999368190765,-0.0,8,0,5,9.1888
217146,329972310,-1069750701,1404.2801513671875,-32.87854766845703,-0.22849899530410767,-0.0,8,0,5,9.1956
217186,329972391,-1069750493,1403.662353515625,-40.85615921020508,-0.22849899530410767,-0.0,8,0,5,9.2096
217246,329972149,-1069750716,1402.735595703125,-30.973724365234375,-0.22849799692630768,-0.0,8,0,5,9.1956
217286,329972282,-1069750698,1402.117919921875,-30.887386322021484,-0.2284969985485077,-0.0,8,0,5,9.1956
217346,329972038,-1069750596,1401.2684326171875,-24.71233367919922,-0.2284969985485077,-0.0,8,0,5,9.1956
217386,329972394,-1069750910,1400.7279052734375,-19.527555465698242,-0.2284960001707077,-0.0,8,0,5,9.1888
217426,329972281,-1069751041,1399.955810546875,-32.90024185180664,-0.2284960001707077,-0.0,8,0,5,9.1956
217486,329972566,-1069750882,1399.029296875,-30.899921417236328,-0.22849500179290771,-0.0,8,0,5,9.2096
217526,329972421,-1069750956,1398.7977294921875,-4.941075325012207,-0.22849500179290771,-0.0,8,0,5,9.1888
217586,329972398,-1069751036,1397.4852294921875,-41.79265213012695,-0.22849400341510773,-0.0,8,0,5,9.1956
217626,329972139,-1069751007,1396.8675537109375,-31.320144653320312,-0.22849300503730774,-0.0,8,0,5,9.2168
217666,329972252,-1069750557,1396.4044189453125,-18.545774459838867,-0.22849300503730774,-0.0,8,0,5,9.1956
217726,329972289,-1069750839,1395.3236083984375,-31.277273178100586,-0.22849200665950775,-0.0,8,0,5,9.1956
217766,329972593,-1069750740,1394.7060546875,-30.89757537841797,-0.22849200665950775,-0.0,8,0,5,9.1888
217826,329972513,-1069751058,1393.9342041015625,-18.528039932250977,-0.22849099338054657,-0.0,8,0,5,9.1744
217866,329972457,-1069750676,1393.162353515625,-32.84854507446289,-0.22848999500274658,-0.0,8,0,5,9.2168
217918,329972457,-1069750676,1392.8536376953125,-6.253395080566406,-0.22848999500274658,-0.0,8,0,5,9.1956
217966,329972129,-1069750861,1391.61865234375,-31.662918090820312,-0.2284889966249466,-0.0,8,0,5,9.1956
218006,329972285,-1069750829,1391.001220703125,-30.903236389160156,-0.2284889966249466,-0.0,8,0,5,9.1956
218066,329972278,-1069751119,1390.0750732421875,-30.871835708618164,-0.2284879982471466,-0.0,8,0,5,9.1888
218106,329972242,-1069750784,1389.457763671875,-30.861825942993164,-0.22848699986934662,-0.0,8,0,5,9.2096
218146,329972242,-1069750784,1388.84033203125,-30.871191024780273,-0.22848699986934662,-0.0,8,0,5,9.1956
218206,329972589,-1069750820,1387.914306640625,-30.869625091552734,-0.22848600149154663,-0.0,8,0,5,9.2096
218246,329972589,-1069750820,1387.4512939453125,-18.517988204956055,-0.22848600149154663,-0.0,8,0,5,9.1956
218306,329972373,-1069751019,1386.37109375,-33.231346130371094,-0.22848500311374664,-0.0,8,0,5,9.1956
218346,329972373,-1069751019,1385.7537841796875,-30.956207275390625,-0.22848400473594666,-0.0,8,0,5,9.1956
218386,329972150,-1069750545,1385.136474609375,-30.865201950073242,-0.22848400473594666,-0.0,8,0,5,9.1956
218446,329972426,-1069750568,1384.210693359375,-30.859420776367188,-0.22848300635814667,-0.0,8,0,5,9.2168
218486,329972131,-1069750892,1383.5933837890625,-30.861330032348633,-0.22848300635814667,-0.0,8,0,5,9.1956
218546,329972501,-1069750637,1382.6676025390625,-30.859390258789062,-0.22848199307918549,-0.0,8,0,5,9.2096
218586,329972374,-1069750924,1382.0504150390625,-30.859375,-0.22848199307918549,-0.0,8,0,5,9.1956
218626,329972590,-1069750821,1381.433349609375,-30.849609375,-0.2284809947013855,-0.0,8,0,5,9.1956
218686,329972576,-1069750782,1380.507568359375,-32.83429718017578,-0.2284799963235855,-0.0,8,0,5,9.1956
218726,329972532,-1069750678,1379.8905029296875,-30.936418533325195,-0.2284799963235855,-0.0,8,0,5,9.1888
218786,329972369,-1069750959,1378.96484375,-32.833038330078125,-0.22847899794578552,-0.0,8,0,5,9.1956
218826,329972454,-1069750687,1378.3477783203125,-30.936368942260742,-0.22847899794578552,-0.0,8,0,5,9.1956
218866,329972391,-1069750790,1377.7308349609375,-30.850736618041992,-0.22847799956798553,-0.0,8,0,5,9.1956
218926,329972458,-1069750998,1376.95947265625,-28.38079071044922,-0.22847700119018555,-0.0,8,0,5,9.1888
218966,329971972,-1069750802,1376.188232421875,-33.217262268066406,-0.22847700119018555,-0.0,8,0,5,9.1956
219026,329972222,-1069750472,1375.2628173828125,-30.86612892150879,-0.22847600281238556,-0.0,8,0,5,9.1956
219066,329972241,-1069750761,1374.6458740234375,-30.84792709350586,-0.22847600281238556,-0.0,8,0,5,9.1956
219106,329972193,-1069751090,1374.0289306640625,-30.847198486328125,-0.22847500443458557,-0.0,8,0,5,9.1956
219166,329972373,-1069751161,1373.103515625,-40.71435546875,-0.22847400605678558,-0.0,8,0,5,9.1956
219206,329972428,-1069750942,1372.4866943359375,-31.23208999633789,-0.22847400605678558,-0.0,8,0,5,9.1956
219266,329972455,-1069750752,1371.5614013671875,-30.84048080444336,-0.2284729927778244,-0.0,8,0,5,9.1956
219306,329972510,-1069750519,1370.9444580078125,-30.846900939941406,-0.2284729927778244,-0.0,8,0,5,9.1956
219346,329972510,-1069750519,1370.32763671875,-30.845203399658203,-0.22847199440002441,-0.0,8,0,5,9.1956
219406,329972159,-1069750913,1369.4024658203125,-30.84480857849121,-0.22847199440002441,-0.0,8,0,5,9.1888
219446,329972159,-1069750913,1368.78564453125,-30.845121383666992,-0.22847099602222443,-0.0,8,0,5,9.1956
219506,329972179,-1069750796,1367.860595703125,-30.83504295349121,-0.22846999764442444,-0.0,8,0,5,9.2096
219546,329972179,-1069750796,1367.243896484375,-30.834964752197266,-0.22846999764442444,-0.0,8,0,5,9.1956
219586,329972366,-1069750906,1366.78125,-18.5029296875,-0.22846899926662445,-0.0,8,0,5,9.1956
219646,329972312,-1069751027,1365.7020263671875,-31.229663848876953,-0.22846899926662445,-0.0,8,0,5,9.1956
219686,329972447,-1069751109,1365.08544921875,-30.848796844482422,-0.22846800088882446,-0.0,8,0,5,9.1956
219746,329972502,-1069750770,1364.160400390625,-32.808509826660156,-0.22846700251102448,-0.0,8,0,5,9.1956
219786,329972144,-1069750627,1363.5438232421875,-30.911949157714844,-0.22846700251102448,-0.0,8,0,5,9.1956
